序号,题目,答案,正确答案
405,科学技术是生产力中的（ ）,A、基本要素 B、最活跃要素 C、重要要素 D、管理要素 ,正确答案： C
406,（ ）是先进生产力的集中体现和主要标志，是第一生产力。,A、科学技术 B、劳动资料 C、劳动对象 D、劳动者 ,正确答案： A
407,人类生活的社会关系当中最基本的关系是（ ）,A、政治关系 B、家庭关系 C、宗教关系 D、生产关系 ,正确答案： D
408,生产力揭示的是（ ）,A、人与自然之间的关系 B、人与物质世界、精神世界之间的关系 C、人们在物质资料生产过程中结成的经济关系 D、物质与意识之间的关系 ,正确答案： A
409,马克思主义把（ ）作为“社会进步的最高标准”.,A、生产关系 B、生产力 C、道德状况 D、人民群众生活水平 ,正确答案： B
410,生产关系是指（ ）,A、人与自然界之间的关系 B、人与人之间的压迫与被压迫关系 C、人与人之间的合作互助关系 D、人们在物质资料生产过程中结成的经济关系 ,正确答案： D
411,判断时代变革的客观依据，是（ ）,A、生产力和生产关系矛盾运动 B、经济基础与上层建筑的矛盾运动 C、阶级斗争的客观要求 D、当时人们对革命或改革的自主选择性 ,正确答案： A
412,经济基础是生产关系的总和，这个总和是指（ ）,A、一定历史阶段上科学技术的总和 B、一定历史阶段上生产力和生产关系的总和 C、一定历史阶段上经济管理的总和 D、一定历史阶段上占统治地位的生产关系各方面的总和 ,正确答案： D
413,经济基础是（ ）,A、一定社会占统治地位的生产关系各方面的总和 B、一切经济关系的总和 C、所有生产关系各方面的总和 D、一切社会关系的总和 ,正确答案： A
414,经济基础与上层建筑的辩证关系是（ ）,A、经济基础决定上层建筑 B、上层建筑决定经济基础 C、经济基础决定上层建筑，上层建筑反作用于经济基础 D、上层建筑反作用于经济基础 ,正确答案： C
415,上层建筑的核心是（ ）,A、艺术 B、道德观念 C、宗教信仰 D、国家政权 ,正确答案： D
416,“在共同生活和共同劳动中，需要有一个为公共利益服务的机构，这就是国家。国家的目的是利用社会力量去谋求社会的福利。”这段话（ ）,A、指明了国家对内职能和对外职能的界限 B、确认了国家是具有强制力的机构 C、承认了国家是个历史范畴 D、抹煞了国家的阶级本质 ,正确答案： D
417,马克思主义认为，国家的起源是（ ）,A、暴力的产物 B、人们相互订立契约而形成的 C、阶级矛盾不可调和的产物 D、阶级矛盾调和的产物 ,正确答案： C
418,国家所代表的利益是（ ）,A、剥削阶级的利益 B、统治阶级的利益 C、全体社会成员的利益 D、基本阶级的利益 ,正确答案： B
419,国家最基本的职能（ ）,A、政治统治 B、社会管理 C、社会舆论控制 D、经济建设 ,正确答案： A
420,（ ）是其他任何国家形态的民主都不能比拟的最广泛的民主。,A、封建社会民主 B、资本主义社会民主 C、社会主义民主 D、共产主义民主 ,正确答案： C
421,社会形态，是指同生产力发展一定阶段相适用的（ ）的统一体。,A、社会存在与社会意识 B、生产力与生产关系 C、经济基础与上层建筑 D、公有制与私有制 ,正确答案： C
422,五种社会形态划分所依据的标准是（ ）,A、生产关系的不同性质 B、国家政权的不同性质 C、意识形态的不同性质 D、人的发展的不同状况 ,正确答案： A
423,在人类历史上出现的第一个阶级社会是（ ）,A、封建社会 B、奴隶社会 C、原始社会 D、资本主义社会 ,正确答案： B
424,列宁曾深刻指出“世界历史发展的一般规律，不仅丝毫不排斥个别发展阶段在发展的形式或顺序上表现出特殊性，反而是以此为前提。”表明，社会形态更替具有（ ）。,A、前进性与曲折性 B、前提性与反复性 C、必然性与人们历史选择性 D、统一性与多样性 ,正确答案： D
425,人类社会的基本矛盾是（ ）,A、政治与经济之间的矛盾 B、理论与实践之间的矛盾 C、先进社会意识与落后社会意识之间的矛盾 D、生产力与生产关系、经济基础与上层建筑之间的矛盾 ,正确答案： D
426,社会形态更替归根到底是由于（ ）,A、社会基本矛盾运动的结果 B、阶级斗争 C、社会革命 D、科技革命 ,正确答案： A
427,对社会形态更替，具有最终的决定意义的因素是（ ）,A、生产力 B、生产关系 C、经济基础 D、上层建筑 ,正确答案： A
428,生产关系一定要适合生产力性质的规律是（ ）,A、某些社会发展的共有规律 B、只对资本主义社会发生作用的规律 C、在一切社会中都起作用的规律 D、社会主义社会特有的规律 ,正确答案： C
429,人类社会最基本矛盾是（ ）,A、生产力与生产关系的矛盾 B、经济基础与上层建筑的矛盾运动 C、阶级之间矛盾 D、革命与改革矛盾 ,正确答案： A
430,马克思主义认为，人类社会发展和进步的最终决定力量（ ）,A、生产力 B、生产关系 C、经济基础 D、上层建筑 ,正确答案： A
431,所有一切社会矛盾的根源是（ ）,A、社会基本矛盾 B、社会主要矛盾 C、社会矛盾的主要方面 D、主要矛盾的主要方面 ,正确答案： A
432,阶级斗争对阶级社会发展的推动作用突出地表现在（ ）,A、社会形态的更替中 B、生产力的提高 C、国家政权的更替 D、意识形态的变化 ,正确答案： A
433,阶级斗争的最高形式是（ ）,A、社会革命 B、科技革命 C、思想革命 D、生产力变革 ,正确答案： A
434,现阶段，我国社会的阶级斗争，正确说法（ ）,A、不再存在 B、不会激化 C、不是社会的主要矛盾 D、短期内会存在 ,正确答案： C
435,革命的实质是（ ）,A、科技革命 B、文化革命 C、思维革命 D、社会制度更替 ,正确答案： D
436,社会革命的根源是（ ）,A、人口太多 B、少数英雄任务组织的暴动 C、阶级斗争 D、社会基本矛盾及其激化 ,正确答案： D
437,马克思主义重视革命的伟大作用，同时（ ）,A、承认改良主义 B、否认改良 C、拒绝改良 D、认为改良是革命的一种补充手段 ,正确答案： D
438,社会主义改革的实质是（ ）,A、政治改革 B、经济改革 C、文化改革 D、社会主义制度的自我调整与完善 ,正确答案： D
439,革命阶级的觉悟程度组织程度和群众的发展发动程度等是社会革命的（ ）,A、客观条件 B、经济条件 C、政治条件 D、主观条件 ,正确答案： D
440,唯物史观认为，现实的人在本质上是（ ）,A、一切社会关系的总和 B、自然属性 C、社会属性 D、物质利益 ,正确答案： A
441,人的本质在其现实性上是一切社会关系的总和。下列错误的理解是（ ）。,A、人的本质属性是社会属性而不是自然属性 B、人的本质是变化和发展的 C、人的本质是自然的不是社会的 D、人的本质属性是表现在各种社会关系中 ,正确答案： C
442,人类最基本的实践活动是（ ）,A、科学实验 B、劳动 C、学习 D、饮食 ,正确答案： B
443,理解社会历史奥秘的钥匙是（ ）,A、劳动发展史 B、科技发展史 C、思想发展史 D、生产工具发展史 ,正确答案： A
444,社会历史的主体是（ ）,A、人民群众 B、英雄人物 C、历史人物 D、上帝 ,正确答案： A
445,关于人民群众是社会历史发展的创造者的叙述中不正确的是（ ）,A、人民群众是社会财富的创造者 B、人民群众是社会精神财富的创造者 C、人民群众是社会变革的决定力量 D、从数量上来看，人民群众是社会人口中的绝大多数 ,正确答案： D
446,关于历史人物的论述错误的是（ ）,A、历史人物对历史发展有深刻影响 B、历史人物有时能够决定个别历史事件的结局 C、历史人物有些起推动历史前进的进步作用，有些起阻碍历史进步的反动作用 D、历史人物能够改变历史发展的总进程和总方向 ,正确答案： D
447,历史人物的出现是由于（ ）,A、偶然性 B、个人魅力的结果 C、历史发展的必然性与偶然性的辩证统一 D、人民群众的呼唤 ,正确答案： C
448,关于评价历史人物的方法叙述，错误的是（ ）,A、应根据当时的历史条件 B、要尊重历史事实 C、要认识到历史人物的历史局限性 D、要掩饰他们的错误 ,正确答案： D
449,科学技术是社会发展的（ ）。,A、重要杠杠 B、根本动力 C、直接动力 D、重要力量 ,正确答案： A
450,社会基本矛盾是社会发展的（ ）。,A、重要杠杠 B、根本动力 C、直接动力 D、重要力量 ,正确答案： B
451,历史唯物主义是马克思（ ）。,A、创立的 B、改进的 C、继承的 D、发展的 ,正确答案： A
452,社会发展的决定力量是（ ）。,A、物质资料的生产方式 B、人口因素 C、地理环境 D、思想意识 ,正确答案： A
453,列宁认为国家的实质是（ ）。,A、服务于大众的机构 B、阶级统治工具 C、统治阶级意志表达工具 D、社会秩序规范工具 ,正确答案： B
454,社会形态不可能是（ ）。,A、单一的 B、统一的 C、多样的 D、可选择的 ,正确答案： A
455,明朝中期之后中国就出现了资本主义萌芽，但是直到几百年后清朝结束，中国也没有走上现代化道路，这说明社会形态发展具有（ ）。,A、前进行 B、可选择性 C、曲折性 D、多样性 ,正确答案： C
456,（ ）在社会前进中的作用最大。,A、生产力 B、生产关系 C、经济基础 D、上层建筑 ,正确答案： A
457,( )在历史创造过程中起决定作用。,A、伟人 B、英雄 C、枭雄 D、群众 ,正确答案： D
458,决定商品的交换比例是（ ）,A、商品的使用价值 B、商品的价值 C、商品的交换价值 D、商品的有用性 ,正确答案： B
459,生产商品的劳动，可分为（ ）,A、具体劳动和抽象劳动 B、具体劳动和直接劳动 C、间接劳动和抽象劳动 D、私人劳动和具体劳动 ,正确答案： A
460,具体劳动和抽象劳动是指（ ）,A、生产商品的同一劳动的两个方面 B、生产商品的时间上交叉、空间上并存的两次劳动 C、生产商品的两次劳动过程 D、生产商品的体力劳动和脑力劳动 ,正确答案： A
461,商品的价值量取决于( )。,A、社会必要劳动时间 B、必要劳动时间 C、个别劳动时间 D、该商品使用价值的大小 ,正确答案： A
462,个别企业劳动生产率越高，则该商品的单位价值量就( )。,A、越大 B、越小 C、不变 D、不能确定 ,正确答案： C
463,某公司在秋季以每公斤0﹒75元的价格收购鲜玉米，采取保鲜技术处理，于春夏季出库上市，每公斤6元还供不应求。造成这种价格差异的原因是（ ）,A、生产玉米的社会必要劳动时间发生了变化 B、玉米的价值和供求关系发生了变化 C、市场玉米的供求关系发生了变化 D、经过处理后的玉米价值发生变化 ,正确答案： B
464,价值规律对社会生产的调节作用是（ ）,A、通过政府的行政命令实现的 B、通过国家运用法律手段实现的 C、通过大家协商共同解决 D、是通过竞争和市场价格的波动实现的 ,正确答案： D
465,商品的使用价值和价值、具体劳动和抽象劳动的矛盾的根源是（ ）,A、简单劳动和复杂劳动的矛盾 B、资本主义的基本矛盾 C、个别劳动时间和社会必要劳动时间的矛盾 D、私人劳动和社会劳动的矛盾 ,正确答案： D
466,私有制商品经济的基本矛盾是( )。,A、价值与使用价值之间的矛盾 B、私人劳动和社会劳动的矛盾 C、抽象劳动与具体劳动的矛盾 D、生产与销售之间的矛盾 ,正确答案： B
467,劳动二重性理论的创立者是（ ）,A、大卫·李嘉图 B、亚当·斯密 C、凯恩斯 D、马克思 ,正确答案： D
468,资本家与工人的关系是（ ）,A、人身依附关系 B、完全占有关系 C、不是完全占有关系，也不是人身依附关系 D、朋友关系 ,正确答案： C
469,劳动力商品的一个重要特征是（ ）,A、劳动力在一定的历史条件下才成为商品 B、劳动力商品的使用价值是价值和剩余价值和源泉 C、劳动力商品有一个历史的和道德的因素 D、劳动力成为商品是货币转化为资本的前提条件 ,正确答案： B
470,货币变成资本的前提，是（ ）,A、具有原始资本 B、资本原始积累的完成 C、拥有相当量的货币 D、货币购买劳动力商品 ,正确答案： D
471,根据资本在剩余价值生产中所起的不同作用，可以将资本区分为( )。,A、固定资本与流动资本 B、货币资本与商品资本 C、预付资本和剩余价值 D、不变资本与可变资本 ,正确答案： D
472,可变资本是用来购买（ ）的那部分资本。,A、劳动力 B、劳动者 C、劳动对象 D、劳动资料 ,正确答案： A
473,不变资本是以（ ）形态存在的资本。,A、劳动力 B、生产资料 C、劳动对象 D、劳动者 ,正确答案： B
474,可变资本的特点是（ ）,A、一次性转移原有价值 B、分次转移原有价值 C、生产出原有价值 D、创造出新价值 ,正确答案： D
475,真正给资本家带来剩余价值的是( ),A、可变资本 B、不变资本 C、预付资本 D、流动资本 ,正确答案： A
476,把资本区分为不变资本和可变资本，进一步揭示了（ ）的源泉。,A、价值 B、使用价值 C、剩余价值 D、交换价值 ,正确答案： C
477,在资本主义制度下，工人工资的本质是( ),A、劳动的价值或价格 B、工人劳动的全部报酬 C、劳动力的价值或价格 D、可变资本部分 ,正确答案： C
478,在资本主义社会中，工人的劳动，（ ）,A、全部生产劳动力价值 B、全部生产剩余价值 C、分为必要劳动时间和社会必要劳动时间 D、分为必要劳动和剩余劳动 ,正确答案： D
479,在工作日不变的条件下，仍能获取更多剩余价值的方法，是（ ）,A、绝对剩余价值生产 B、相对剩余价值生产 C、超额剩余价值生产 D、超额利润生产 ,正确答案： B
480,单个资本家改进技术、改善管理，从而可以获得( ),A、绝对剩余价值 B、相对剩余价值 C、超额剩余价值 D、平均利润 ,正确答案： C
481,资本主义条件下的生产自动化，表明剩余价值由( ),A、科学技术带来的 B、劳动生产率的提高产生的 C、雇佣工人和先进科技共同创造的 D、雇佣工人的劳动创造的 ,正确答案： D
482,资本积累的实质是资本家（ ）,A、靠节制自己的消费欲望来扩大再生产 B、把剩余价值用来扩大生产增加就业 C、用无偿占有工人的剩余价值扩大自己的资本，进一步扩大对工人的剥削 D、把剩余价值不断用于提高工人的生活水平 ,正确答案： C
483,资本积累的源泉是（ ）,A、剩余价值 B、工人的劳动 C、商品的使用价值 D、商品的价值 ,正确答案： A
484,当剩余价值转化为利润时，便( ),A、掩盖了剩余价值与可变资本的关系 B、提高了剩余价值率 C、提高了资本的经济效益 D、降低了剩余价值率 ,正确答案： A
485,马克思说过：一件上衣对于顾客还是生产者来说，无论谁穿都是一样的，这是在阐述（ ）。,A、商品的价值 B、商品的使用价值 C、抽象劳动 D、社会劳动 ,正确答案： B
486,经济危机中因产品积压卖不出去而倒闭的企业是因为实现不了生产过程中的（ ）。,A、价值补偿 B、实物补偿 C、劳动补偿 D、增殖补偿 ,正确答案： A
487,率先使用高科技从事生产的个别企业（ ）。,A、剩余价值来源改变 B、可以获得更多的剩余价值 C、生产商品的价值提高 D、获得更多的社会平均利润 ,正确答案： B
488,某人创办工厂投资100万，60万用来建厂房买设备等，40用来买原材料和雇佣工人等，其中雇佣工人10万元，一轮生产结束后该人总资本达到120万元，该企业的剩余价值率为（ ）。,A、0.2 B、0.5 C、1 D、2 ,正确答案： D
489,汽车的市场平均利润率为10%，某企业生产一辆汽车耗费的生产资料价值为15万元、工人工资为5万元，该汽车的生产价格为（ ）万元。,A、20 B、20.5 C、21.5 D、22 ,正确答案： D
490,资本主义的基本经济规律是（ ）,A、剩余价值规律 B、价值规律 C、货币流通规律 D、生产关系一定要适合生产力的状态的规律 ,正确答案： A
491,马克思主义揭示资本主义制度剥削本质的锐利武器是( )。,A、价值理论 B、剩余价值理论 C、商品二因素理论 D、唯物史观理论 ,正确答案： B
492,资本主义的基本矛盾（ ）,A、资本家阶级与工人阶级的矛盾 B、生产社会化同生产资料私人占有之间的矛盾 C、资本家与雇佣劳动者的矛盾 D、私人劳动与社会劳动的矛盾 ,正确答案： B
493,经济危机的根源是（ ）,A、简单劳动和复杂劳动的矛盾 B、资本主义的基本矛盾 C、资本主义生产的绝对过剩 D、资本主义的阶级矛盾 ,正确答案： B
494,资本主义经济危机爆发的根本原因（ ）,A、资本家阶级之间的矛盾 B、资本主义基本矛盾 C、资本家与工人之间的矛盾 D、社会矛盾 ,正确答案： B
495,生产过剩是资本主义经济危机的本质特征，其过剩是指( )。,A、生产绝对超过人民需求 B、是相对于人民购买力而言 C、是相对于人民实际需要而言 D、国家宏观调控失控 ,正确答案： B
496,资本主义发展到一定阶段，就会发生以（ ）为基本特征的经济危机。,A、生产相对过剩 B、货币相对过剩 C、商品相对过剩 D、食品相对过剩 ,正确答案： A
497,资本主义经济危机包括哪几个阶段（ ）,A、危机、复苏、高涨 B、危机、萧条、高涨 C、萧条、复苏、高涨 D、危机、萧条、复苏、高涨 ,正确答案： D
498,（  ）的发表，标志马克思主义的公开问世,A、 《共产党宣言》  B、 《德意志意识形态》  C、 《资本论》  D、 《神圣家族》  ,正确答案： A
499,“城门失火，殃及池鱼”说明（ ）,A、直接联系 B、间接联系 C、本质联系 D、必然联系 ,正确答案： B
500,自由是相对的，不能摆脱自然规律也不能存在于幻想之中，这是（ ）观点。,A、朴素唯物主义 B、形而上学唯物主义 C、历史唯物主义 D、辩证唯物主义 ,正确答案： D
501,自由是万物的基础，必须随心所欲，这是（ ）的观点。,A、唯意志论 B、唯心主义 C、机械唯物主义 D、形而上学 ,正确答案： A
502,治理每一次雾霾既需要“人努力”还需要“天帮忙”，这说明了（ ）。,A、尊重事物的客观规律是正确发挥主观能动性的前提 B、人类有意识的思想活动是掌握客观规律的根本前提 C、认识活动是主观能动性与客观规律性统一的基础 D、没有认识到的自然规律对于人类来说特别重要 ,正确答案： A
503,同一个老师讲课，但同学记的笔记都有所不同，说明（ ）。,A、意识具有主动性 B、意识具有能动性 C、意识是一种间接反映 D、同学有主见 ,正确答案： B
504,马克思、恩格斯出生地是当时最发达地区之一，家庭条件都非常好，也都非常聪明，但是他们为了无产阶级吃苦受累，创立了科学社会主义，这主要因为（ ）。,A、他们对于时代有着超常的认知 B、他们家庭背景和教育经历 C、社会历史条件和个人努力 D、当时德国的高度发达 ,正确答案： C
505,“胡子眉毛一起抓”违背了（ ）。,A、两点论 B、重点论 C、适度原则 D、实事求是 ,正确答案： B
506,“既克服又保留”说的是（ )。,A、扬弃 B、发展 C、联系 D、矛盾 ,正确答案： A
507,符合历史发展规律、具有远大前程、被人民拥护的是（ ）。,A、新事物 B、大事物 C、旧事物 D、好事物 ,正确答案： A
508,唯物辩证法最为本质的规律是（ ）。,A、对立统一规律 B、质量互变规律 C、否定之否定规律 D、唯物辩证法规律 ,正确答案： A
509,（ ）的观点是认识论的第一和基本的观点,A、认识 B、实践 C、意识 D、反映 ,正确答案： B
510,实事求是中的“是”是指（ ）,A、规律 B、认识 C、反映 D、价值 ,正确答案： B
511,人们所获得的认识属于具体的、（ ）认识。,A、抽象的 B、历史的 C、变化的 D、非本质的 ,正确答案： B
512,人的实践活动以改造（ ）为目的。,A、思维 B、主观认识 C、客观世界 D、意识世界 ,正确答案： C
513,割裂感性认识与理性认识的辩证关系，会导致经验论和（ ）,A、表象 B、唯理论 C、唯意志论 D、宿命论 ,正确答案： B
514,尝一尝苹果，知道苹果是甜的，甜的感觉属于（ ）,A、理性认识 B、概念 C、表象 D、感性认识 ,正确答案： D
515,在认识领域，理性认识的形成需要借助（ ）,A、感觉 B、抽象思维 C、经验直观 D、感性直观 ,正确答案： B
516,要想知道梨子的滋味就尝尝梨子，这表明获得正确的认识要通过（ ）,A、直观 B、经验 C、实践 D、客观 ,正确答案： C
517,旧唯物主义认识论被称为（ ）,A、机械反映论 B、客观的反映论 C、认识的主观性 D、认识的目的性 ,正确答案： A
518,实践是认识的来源也是认识的（ ）,A、反映 B、反应 C、目的 D、活动 ,正确答案： C
519,（ ）是最基本的实践活动。,A、物质资料的生产活动 B、社会关系的建构 C、政治革命 D、科学研究 ,正确答案： A
520,在现代科学技术条件下，飞行员通过电子信息设备模拟驾驶飞机，属于（ ）,A、物质生产实践 B、社会政治实践 C、虚拟实践 D、历史实践 ,正确答案： C
521,建筑师在建筑房子之前已经在头脑中建好了房子，说明人的实践活动具有（ ）,A、社会历史性 B、客观性 C、目的性 D、条件性 ,正确答案： C
522,下列属于实践主体的是（ ）,A、狼孩 B、我思 C、精神性的主体 D、劳动的人 ,正确答案： D
523,中国共产党思想路线的核心是（ ）,A、统一战线中的领导权问题 B、群众路线 C、实事求是 D、尊重主体选择性 ,正确答案： C
524,由实践到认识是认识过程的第几次飞跃（ ）,A、一 B、二 C、三 D、四 ,正确答案： A
525,认识的本质是主体对客体的（ ）反映,A、思维 B、客观 C、能动 D、主观 ,正确答案： C
526,认识与改造世界的过程是改造（ ）与客观世界过程的统一。,A、意识世界 B、感觉世界 C、思维世界 D、主观世界 ,正确答案： D
527,认识过程的第一次飞跃是（ ）,A、认识到实践 B、实践到认识 C、主观到客观 D、客观到主观 ,正确答案： B
528,人脑中的飞马与金山的观念说明，在人的认识活动中，认识主体具有（ ）特性。,A、摹写 B、反映 C、创造 D、客观 ,正确答案： C
529,理性认识的特点是（ ）,A、对感性认识的综合 B、与客观事物无关的人的自由创造物 C、通过感觉器官对客观事物的直接把握 D、借助于抽象思维达到对事物本质的把握 ,正确答案： D
530,马克思主义认识论认为，能动的反映是( ),A、摹写和创造的统一 B、可知论与不可知论的统一 C、物质性与精神性的统一 D、真理的本性与实践特点的统一 ,正确答案： A
531,“实践是认识的来源”，这种观点是说（ ）,A、只要参加实践活动就能获得正确认识 B、一切认识都要直接参加实践活动才能获得 C、一切认识归根到底都是从实践中得来的 D、只有直接经验来自实践 ,正确答案： C
532,唯物主义和唯心主义在认识论上的根本对立表现在（ ）,A、是否承认感觉经验是认识的起点 B、是否承认世界的可知性 C、是否承认人类认识世界的能力 D、是否承认认识是人脑对客观世界的反映 ,正确答案： D
533,下列选项中，正确表达认识客体含义的是（ ）,A、认识的客体是由主体创造出来的对象 B、认识的客体是外部自然界 C、认识的客体是主体实践和认识的对象 D、认识的客体是客现存在的事物 ,正确答案： C
534,鹰比人眼看的远，但识别能力不如人，这是因为（ ）。,A、人同时有感觉和思维 B、人同时有理性和非理性 C、人同时有理性和想象 D、人同时有生理机能和心理活动 ,正确答案： A
535,爱迪生发明灯泡失败了两千多次，但他说自己每一次其实都没有失败，这是因为每一次实验在他看来（ ）。,A、都是对事物的正确反映 B、都是认识了相对真理 C、都是实践的一部分 D、对于偶然挫折可以忽视不计 ,正确答案： C
536,陆游讲“圣门初岂远，妙处在躬行”这说明( )。,A、实践是认识的基础和来源 B、认识水平提高能提高实践水平 C、理论指导没有对错之分 D、第一次飞跃比第二次飞跃重要 ,正确答案： A
537,实践是人们直接在现实生活中的物质活动，这说明实践具有（ ）。,A、直接现实性 B、自觉能动性 C、社会历史性 D、自我检验性 ,正确答案： A
538,电脑对于我们来说是作为实践的（ ）而存在。,A、主体 B、客体 C、中介 D、终点 ,正确答案： C
539,先有图纸后有大楼，说明（ ）。,A、意识具有能动性 B、意识具有科学性 C、意识决定物质 D、物质决定意识 ,正确答案： A
540,认识的全过程，说明（ ）既是认识的起点又是认识的终点。,A、实践 B、感觉 C、推理 D、表象 ,正确答案： A
541,“上帝是与生俱来的”，其实质是（ ）。,A、不可知论 B、主观唯心主义 C、客观唯心主义 D、唯意志论 ,正确答案： C
542,休谟所说的我只知道我的感觉，说明了他是（ ）。,A、不可知论 B、可知论者 C、客观唯心主义者 D、辩证唯物主义者 ,正确答案： A
543,绝对精神概念的提出者是( )。,A、康德 B、费希特 C、费尔巴哈 D、黑格尔 ,正确答案： D
544,对于感性认识与理性认识，正确的是（ ）。,A、感性认识依赖于理性认识，因为感性认识需要上升为理性认识 B、理性认识依赖于感性认识，因为理性认识来源于感性认识 C、二者在认识过程中没有区分 D、二者在认识过程中完全对立 ,正确答案： B
545,科学社会主义的核心内容是（ ）,A、无产阶级专政和社会主义民主 B、唯物史观 C、无产阶级专政 D、国家政权 ,正确答案： A
546,社会主义政治制度的基本特征是（ ）,A、坚持社会主义方向 B、无产阶级政党的领导 C、无产阶级专政的政权 D、马克思主义的领导 ,正确答案： C
547,社会主义的根本任务是 （ ）,A、进行阶级斗争 B、改革生产资料所有制 C、进行政治体制改革、经济体制改革 D、解放生产力、发展生产力 ,正确答案： D
548,下列提法正确的是（ ）,A、只有空想社会主义思想家预见了社会未来 B、只有马克思主义经典作家预见了社会未来 C、只有唯心主义思想家预见了社会未来 D、许多思想家都预见了未来社会 ,正确答案： B
549,马克思主义产生于（ ）,A、17世纪40—60年代 B、18世纪40—60年代 C、19世纪40—60年代 D、20世纪40—60年代 ,正确答案： C
550,马克思主义最根本的世界观和方法论是（ ）,A、机械唯物主义和形而上学 B、机械唯物主义和唯心辩证法 C、机械唯物主义和朴素唯物主义 D、辩证唯物主义和历史唯物主义 ,正确答案： D
551,哲学的基本问题是（ ）,A、唯心主义和唯物主义的关系问题 B、辩证法和形而上学的关系问题 C、可知论和不可知论的关系问题 D、思维和存在的关系问题 ,正确答案： D
552,物质的根本属性是（ ）,A、矛盾 B、运动 C、空间和时 D、可知性 ,正确答案： B
553,认为世界的本质是某一种或几种具体物质形态的观点属性（ ）,A、朴素唯物主义观点 B、形而上学唯物主义观点 C、辩证唯物主义观点 D、庸俗唯物主义观点 ,正确答案： A
554,在自然界，没有上，就无所谓下；没有先进，就无所谓落后；在认识中，没有正确，就无所谓错误。这说明（ ）,A、矛盾双方是相互排斥的 B、矛盾双方是相互渗透的 C、矛盾双方是相互转化的 D、矛盾双方是相互依存的 ,正确答案： D
555,人们常说“前途是光明的，道路是曲折的”。这句话体现的最主要的辩证法原理是（ ）,A、世界永恒发展的原理 B、事物普遍联系的原理 C、否定之否定规律 D、质量互变规律 ,正确答案： C
556,下列变化中，属于发展的是（ ）,A、大雁从北方飞到南 B、封建王朝的宫廷政变 C、春夏秋冬四季的交替 D、旧中国的覆灭和新中国的诞生 ,正确答案： D
557,马克思主义哲学认为，认识的本质是（）,A、主体对客体的能动反映 B、主体对客体的直观反映 C、主体对客体的思维建构 D、主体对客体的价值判断 ,正确答案： A
558,下列活动中，属于最基本的实践活动的是（ ）,A、演员在舞台上表演 B、警察在街上巡逻 C、农民在田里插秧 D、科学家在实验室做实验 ,正确答案： C
559,实践作为检验真理的标准，即具有确定性，又具有不确定性。实践标准之所以具有不确定性，是因为任何具体实践活动都（ ）,A、具有客观性 B、具有能动性 C、具有历史局限性 D、具有社会性 ,正确答案： C
560,真理是绝对的，又是相对的。这是真理问题上的（ ）,A、唯物论 B、辩证法 C、二元论 D、诡辩论 ,正确答案： B
561,一切社会意识所共有的本质特征在于（ ）,A、他们具有阶级性 B、他们是对社会存在的反映 C、他们是上层建筑的组成部分 D、他们一视同仁地为一切经济基础服务 ,正确答案： B
562,生产方式是指（ ）,A、生产者和生产关系的统一体 B、生产工具和生产技术的统一体 C、生产力和生产关系的统一体 D、生产目的和生产环境的统一体 ,正确答案： C
563,社会革命根源于（ ）,A、剥削阶级和被剥削阶级之间的矛盾 B、社会基本矛盾的尖锐化 C、产品分配不公、收入差距加大 D、不同地区之间经济发展不平衡 ,正确答案： B
564,在整个上层建筑中，（ ）是核心,A、意识形态 B、政治法律思想 C、国家政权 D、生产资料所有制 ,正确答案： C
565,具体劳动和抽象劳动是（）,A、生产商品的两种劳动 B、生产过程中先后进行的两次劳动 C、同一劳动过程中的两个不同的方面 D、不同劳动过程中的两个方面 ,正确答案： C
566,商店里出售的各种商品，都有价格标签。这些标签表明货币是在（）,A、执行价值尺度的职能 B、充当价格手段的职能 C、发挥支付手段的职能 D、作为社会财富的代表 ,正确答案： A
567,理解马克思主义政治经济学的枢纽是（）,A、劳动价值理论 B、劳动二重性理论 C、商品经济理论 D、商品而因素理论 ,正确答案： B
568,劳动商品的最重要的特征是（ ）,A、劳动力存在于健康的人体内 B、劳动力的使用价值是剩余价值的源泉 C、劳动力在一定条件下可以成为商品 D、劳动力价值的决定受历史因素的影响 ,正确答案： B
569,绝对剩余价值和相对剩余价值都是依靠( ),A、延长工人工作日而获得的 B、提高劳动生产率而获得的 C、降低工人的工资而获得的 D、增加剩余劳动时间而获得的 ,正确答案： D
570,在自由竞争资本主义阶段，部门之间的竞争形成了（ ）,A、商品的价值 B、商品的价格 C、剩余价值率 D、平均利润率 ,正确答案： D
571,资本主义经济危机的实质是（ ）,A、生产绝对过剩的经济危机 B、生产不足的经济危机 C、生产相对过剩的经济危机 D、生产严重短缺的经济危机 ,正确答案： C
572,垄断的形成（）,A、生产集中和资本集中发展到一定阶段的结果 B、生产输出的结果 C、金融资本统治的世界 D、国家干涉经济的结果 ,正确答案： A
573,垄断资本条件下垄断企业竞争的目的是为了（）,A、获得平均利润 B、获得超额利润 C、获得高额垄断利润 D、消灭中小企业 ,正确答案： C
574,金融寡头在经济上的统治主要是通过（ ）实现的,A、参与制 B、建立政策研究咨询机构对政府施加影响 C、个人联合 D、掌握舆论工具控制新闻媒介 ,正确答案： A
575,跨国公司是（ ）,A、发达国家共同出资建立的 B、发展中国家共同出资建立的 C、多国垄断组织的联盟 D、有关国际经济组织投资建立的 ,正确答案： C
